,created_at,screen_name,text
27,9/8/2019 7:57,gigihprila,"PB Djarum sudah mengalah, tapi KPAI menolak. KPAI sepertinya lebih menghargai anak-anak yang teriak-teriak bunuh dalam karnaval ketimbang dididik berprestasi.

KPAI digaji negara. Pakai duit pajak kita. Malah menggancurkan dunia bulutangkis kita. Bangke!

https://t.co/JXVTZKeA6c"
28,9/8/2019 7:46,quin_ingrid,@kangdede78 @PBDjarum @KPAI_official @lenteraanak_ Pak @jokowi  harus turun tangan nich mendukung @PBDjarum dan menegur @KPAI_official yang sok paling beneerrr..padahal..ngeeek
29,9/8/2019 7:58,quin_ingrid,"Lembaga @KPAI_official &amp; NGO Yayasan @lenteraanak_  lagi viral krn BERHASIL menutup @PBDjarum yg sdh melahirkan PULUHAN pebulutangkis dunia.

Ini salah dua<U+0001F600> “LIKE” akun Komisioner @KPAI_official sodari @SHikmawatty 

Beda pilihan politik sih biasa, cuma jejak digital saja.<U+0001F600> https://t.co/6NCh3ariyv"
30,9/8/2019 7:58,ambigram_agung,"Selamat ya, KPAI... atas prestasinya menghancurkan mimpi anak2 berprestasi calon juara dunia.

Mungkin KPAI yang mau ambil tanggung jawab utk pendanaan pelatihan mereka sekarang.. <U+2615><U+2615>

https://t.co/TWPx9b3YPd"
31,9/8/2019 7:58,VitaKurniaa,50 Tahun eksploitasi anak versi @lenteraanak_ @KPAI_official https://t.co/IFKkVHQDol
32,9/8/2019 7:57,bpriady,"Selamat ya, KPAI... atas prestasinya menghancurkan mimpi anak2 berprestasi calon juara dunia.

Mungkin KPAI yang mau ambil tanggung jawab utk pendanaan pelatihan mereka sekarang.. <U+2615><U+2615>

https://t.co/TWPx9b3YPd"
33,9/8/2019 7:58,bpriady,"@Dennysiregar7 @Usep210 @KPAI_official  punya kepentingan apa sbrnya di balik ini? Saat anak2 diajak demo kalian diam. Saat anak2 pawai obor smbil teriak bunuh2 klean ngapain

#bubarkanKPAI"
34,9/8/2019 7:57,bpriady,"@Dennysiregar7 @KPAI_official dan @lenteraanak_ akan tercatat di sejarah bangsa ini,  bertanggung jawab atas hilangnya kesempatan talenta anak2 beeprestasi di dunia bulu tangkis. 
Institusi unfaedah yang ngotot minta anggaran,  tapi ga ada kerjanya...
Tolol berjamaah."
35,9/8/2019 7:50,KadaLLL_kesit,"@PBDjarum Terima kasih PB Djarum. 
Semoga @lenteraanak_ dan @KPAI_official bisa mencari sumber beasiswa yg lain. 
.
.
.
.
.
Telek"
36,9/8/2019 7:55,KadaLLL_kesit,@PBDjarum @KPAI_official karepmu ki jane opo to mbut? Sampe badminton anjlok tak jaluk pertanggung jawaban mu ng akhirat https://t.co/vy4Bs6Ny97
37,9/8/2019 7:58,KadaLLL_kesit,@aprilia_citra @PBDjarum @lenteraanak_ @KPAI_official @MataNajwa mbak minta tolong di angkat ini di mata najwa masalah pembibitan atlet bulutangkis apa @lenteraanak_ @KPAI_official Bisa cari sponsor atau mendanai secara royal seperti djarumfoundation? Kalo hanya koar koar saja ya percuma kalo nggak ada solusi
38,9/8/2019 7:49,KadaLLL_kesit,"@PBDjarum Mana yang lebih berguna bagi bangsa dan membantu masa depan anak?
Cc:. @KPAI_official
@PBDjarum"
39,9/8/2019 7:52,KadaLLL_kesit,"@PBDjarum @G_minton Dan negara2 lain pesaing bulutangkis indonesia pun BERTEPUK TANGAN!!! 

 kalian bisa apa @KPAI_official @lenteraanak_ ??"
40,9/8/2019 7:46,KadaLLL_kesit,"@FCTCuntukID Audisi udh dari 2006, PP baru ada thn 2012. 7 thn, KPAI, yayasan lentera anak kemana? Ribut2nya baru skrg?"
41,9/8/2019 7:56,KadaLLL_kesit,"@PBDjarum Terimakasih @PBDjarum atas kontribusi audisi terbukanya selama ini!!

Terimakasih @lenteraanak_ &amp; @KPAI_official sdh berhasil mengubur mimpi anak2 Indonesia yg kurang beruntung utk jd atlet. ""Prestasi"" yg membanggakan!!! Selamat MENDORONG perusahaan lain buat pembibitan atlet ya!"
42,9/8/2019 7:58,Dame_Cynth1a,"Djarum sudah berapa puluh tahun membina bulutangkis, kenapa KPAI jaman now tiba2 mempermasalahkan 'logo berbau rokok' sekarang dgn tudingan eksploitasi anak?? Mereka yg fully sponsor, ya wajar logo nya ada di baju, banner, tas, topi dll"
43,9/8/2019 7:58,jjsengui,"Karena ulah KPAI yang menuding audisi Bulutangkis PD Djarum adalah eksploitasi anak-anak, akhirnya tahun depan tidak ada lagi pencarian bakat seperti ini. Indonesia akan kehilangan potensi pebulutangkis nasional melaga di ajang dunia.

Sedih... https://t.co/ZJrECR0On8"
44,9/8/2019 7:57,faizala28178661,"@na_dirs selama @KPAI_official mengatakan itu adalah eksploitasi anak-anak, maka akan tidak ada yg berani"
45,9/8/2019 7:57,sutrisnovic,"Sudah 50 tahun PB Djarum berkontribusi untuk negeri di bidang bulutangkis, tak sedikit atlet-atlet jebolan dari Audisi PB Djarum mengharumkan nama Indonesia di kancah Internasional. Kini PB Djarum dituduh mengeksploitasi anak oleh KPAI. 
#PBDjarumJanganPamit https://t.co/a10vlVRMd0"
46,9/8/2019 7:56,KetikHarry,@lenteraanak_ @KPAI_official Min bubarin PERSEBAYA dan @PSSI itu ada Djarumnya min. Ekaploitasi anak usia dini min. Bubarin saja sepakbola ini min... cepetan jangan tunggu lama... https://t.co/NTFc9Szptt
47,9/8/2019 7:52,KetikHarry,"Mari bantu peduli ke masa depan badminton Indonesia. Tolak putusan KPAI dan Lentera Anak agar PB Djarum kembali buka audisi untuk pembibitan badminton Indonesia

https://t.co/yC8wbIF9RD"
48,9/8/2019 7:46,KetikHarry,"Sudah cukuplah, ya. 

Sudah 50 tahun PB Djarum mendukung pembinaan bulu tangkis di Indonesia. Sekarang giliran Yayasan Lentera Anak, KPAI, Kemenpora, dan pihak-pihak lain untuk mengambil alih peran ini. 

Semoga bisa, dan mau. https://t.co/KE8DcrA51A"
49,9/8/2019 7:57,KetikHarry,Saya punya 2 anak. Yang nomor satu umur 11 th. Saya tak pernah khawatir ketika dia nonton bulutangkis dan di koas pemainnya ada tulisan DJARUM. Saya justru khawatir pas dia nyalakan TV ternyata acaranya sinetron atau kartun yg gambarnya disensor. @KPAI_official @lenteraanak_
50,9/8/2019 7:57,rizkiyudhaprbw,@KPAI_official Ayo by1 badminton min. Yang kalah bayarin Royal pass season depan.
